2021-05-21 22:36:53,676 - DEBUG -  messenger.client - Log: make_presence_message(('test3', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625813.6759357, 'type': 'status', 'user': {'client_name': 'test3', 'status': 'I am here!'}} 
2021-05-21 22:36:53,678 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:36:53,678 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55738), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625813.644021, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:36:53,679 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:36:53,679 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:36:53,684 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:36:53,686 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:36:53,914 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:36:53,915 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55739), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625813.6759357, 'type': 'status', 'user': {'client_name': 'test3', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:36:53,917 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test3 
2021-05-21 22:36:53,920 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:36:53,947 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:36:53,950 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:36:54,128 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:37:01,458 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625821.458975, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:37:01,534 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:37:06,728 - DEBUG -  messenger.client - Log: attach_to_group_message(('test3',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625826.7281814, 'group': "'ded'", 'from': 'test3'} 
2021-05-21 22:37:06,885 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:37:15,104 - DEBUG -  messenger.client - Log: make_msg_message(('test3', "'hello'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621625835.104453, 'to': '#', 'group': "'ded'", 'from': 'test3', 'encoding': 'utf-8', 'message': "'hello'"} 
2021-05-21 22:37:15,311 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55737), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:37:15,312 - DEBUG -  messenger.client - Получен ответ сервера 200 
=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55738), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:37:15,521 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55739), raddr=('127.0.0.1', 7777)>, 'test3'),{}) = None 
2021-05-21 22:38:16,511 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:38:16,515 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625896.51517, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:38:16,517 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55750), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625896.51517, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:38:16,518 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:38:16,518 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:38:16,519 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:38:16,519 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:38:16,723 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:38:19,782 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:38:19,787 - DEBUG -  messenger.client - Log: make_presence_message(('test2', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625899.7873242, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}} 
2021-05-21 22:38:19,788 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55751), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625899.7873242, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:38:19,789 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:38:19,789 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:38:19,790 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:38:19,791 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:38:20,005 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:38:24,070 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625904.0703397, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:38:24,130 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:38:30,183 - DEBUG -  messenger.client - Log: attach_to_group_message(('test1',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625910.1836796, 'group': "'ded'", 'from': 'test1'} 
2021-05-21 22:38:30,265 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:38:43,201 - DEBUG -  messenger.client - Log: make_msg_message(('test1', "'hi'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621625923.2012825, 'to': '#', 'group': "'ded'", 'from': 'test1', 'encoding': 'utf-8', 'message': "'hi'"} 
2021-05-21 22:38:43,336 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:38:43,336 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55751), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:38:43,538 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55750), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:40:45,650 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:40:45,653 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621626045.653766, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:40:45,656 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55759), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621626045.653766, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:40:45,657 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:40:45,657 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:40:45,658 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:40:45,658 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:40:45,859 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:40:48,265 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:40:48,271 - DEBUG -  messenger.client - Log: make_presence_message(('test2', 'I am here!'),{}) = {'action': 'presence', 'time': 1621626048.2717757, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}} 
2021-05-21 22:40:48,273 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55760), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621626048.2717757, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:40:48,273 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:40:48,273 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:40:48,275 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:40:48,276 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:40:48,482 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:40:54,020 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621626054.0202003, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:40:54,215 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:40:59,096 - DEBUG -  messenger.client - Log: attach_to_group_message(('test1',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621626059.096587, 'group': "'ded'", 'from': 'test1'} 
2021-05-21 22:40:59,126 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:41:04,710 - DEBUG -  messenger.client - Log: make_msg_message(('test1', "'ded'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621626064.7100976, 'to': '#', 'group': "'ded'", 'from': 'test1', 'encoding': 'utf-8', 'message': "'ded'"} 
2021-05-21 22:41:04,833 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:41:04,833 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55760), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:41:05,037 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55759), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:43:03,050 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:43:03,055 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621626183.055943, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:43:03,057 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55766), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621626183.055943, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:43:03,057 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:43:03,057 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:43:03,059 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:43:03,059 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:43:03,263 - DEBUG -  messenger.client - Получен ответ сервера 200 
